	1.2199320663423558E-5
0	0.0035116907319856826	70
1	0.008073622466506003	684
10	1.6289497121856842E-4	71389
100	1.0016752349958489E-4	1219
1000	2.2399490471672005E-5	16675
10000	3.657138338670779E-6	1619
10001	1.8018982497382235E-5	24954
10002	6.06426508186201E-4	47619
10003	5.3374451429249214E-6	3723
10004	1.9768315344166374E-6	395
10005	1.9768315344166374E-6	395
10006	1.9768315344166374E-6	395
10007	1.9768315344166374E-6	395
10008	1.9768315344166374E-6	1561
10009	1.9768315344166374E-6	395
1001	1.9768315344166374E-6	975
10010	5.3374451429249214E-6	395
10011	3.657138338670779E-6	2338
10012	1.9768315344166374E-6	395
10013	1.9768315344166374E-6	395
10014	1.9768315344166374E-6	3678
10015	1.9768315344166374E-6	395
10016	1.9768315344166374E-6	746
10017	1.9768315344166374E-6	849
10018	1.9768315344166374E-6	395
10019	1.9768315344166374E-6	395
1002	1.0378365555687345E-5	1206
10020	1.9768315344166374E-6	3189
10021	1.9768315344166374E-6	1401
10022	1.2542669197831443E-5	18292
10023	3.657138338670779E-6	395
10024	5.0853991222868E-6	395
10025	1.9768315344166374E-6	395
10026	1.9768315344166374E-6	395
10027	1.9768315344166374E-6	395
10028	3.657138338670779E-6	4030
10029	7.017751947179063E-6	395
1003	1.2058672359941488E-5	5673
10030	7.017751947179063E-6	9330
10031	1.9768315344166374E-6	1712
10032	3.657138338670779E-6	32279
10033	1.9768315344166374E-6	395
10034	1.9768315344166374E-6	658
10035	1.9768315344166374E-6	432
10036	1.866223916491908E-5	47636
10037	1.9768315344166374E-6	13267
10038	1.9768315344166374E-6	396
10039	1.9768315344166374E-6	4084
1004	2.3094087296880563E-5	12952
10040	1.9768315344166374E-6	634
10041	1.9768315344166374E-6	396
10042	1.9768315344166374E-6	396
10043	1.9768315344166374E-6	396
10044	3.657138338670779E-6	396
10045	3.657138338670779E-6	4558
10046	1.9768315344166374E-6	397
10047	1.9768315344166374E-6	8969
10048	3.657138338670779E-6	397
10049	1.9768315344166374E-6	4187
1005	3.310031431621398E-5	2560
10050	1.9768315344166374E-6	397
10051	1.9768315344166374E-6	397
10052	1.9768315344166374E-6	2033
10053	0.001473148193061178	47643
10054	1.9768315344166374E-6	398
10055	1.9768315344166374E-6	398
10056	1.9768315344166374E-6	1619
10057	7.017751947179063E-6	3264
10058	1.9768315344166374E-6	398
10059	1.9768315344166374E-6	47648
1006	2.58725583874846E-5	16738
10060	3.928342327916815E-5	11515
10061	3.657138338670779E-6	1621
10062	1.4448908788993005E-5	15205
10063	5.0853991222868E-6	20228
10064	1.1554580318665248E-5	1621
10065	1.9768315344166374E-6	47682
10066	5.3374451429249214E-6	398
10067	1.9768315344166374E-6	398
10068	5.0853991222868E-6	405
10069	5.0853991222868E-6	399
1007	1.9768315344166374E-6	18
10070	1.1806626339303368E-5	128
10071	3.657138338670779E-6	44363
10072	1.9768315344166374E-6	399
10073	1.9768315344166374E-6	399
10074	6.299420788360417E-6	9167
10075	1.9768315344166374E-6	896
10076	1.9768315344166374E-6	399
10077	1.9768315344166374E-6	10071
10078	5.3374451429249214E-6	15204
10079	1.9768315344166374E-6	13035
1008	2.738727118174989E-5	8
10080	5.3374451429249214E-6	5386
10081	1.9768315344166374E-6	2051
10082	3.657138338670779E-6	400
10083	1.9768315344166374E-6	400
10084	1.9768315344166374E-6	9480
10085	7.979727592614558E-6	2181
10086	1.9768315344166374E-6	400
10087	1.9768315344166374E-6	401
10088	1.9768315344166374E-6	976
10089	1.9768315344166374E-6	401
1009	0.0010600106095759192	3632
10090	1.9768315344166374E-6	401
10091	1.9768315344166374E-6	918
10092	1.9768315344166374E-6	401
10093	1.9768315344166374E-6	47697
10094	4.9357513689558374E-5	909
10095	1.9768315344166374E-6	401
10096	1.9768315344166374E-6	401
10097	7.32928434991895E-5	7888
10098	1.9768315344166374E-6	401
10099	1.9768315344166374E-6	15067
101	3.339856877396908E-5	2036
1010	3.657138338670779E-6	69
10100	1.9768315344166374E-6	401
10101	1.9768315344166374E-6	402
10102	1.9768315344166374E-6	47701
10103	1.9768315344166374E-6	402
10104	5.3374451429249214E-6	47702
10105	1.9768315344166374E-6	402
10106	3.657138338670779E-6	28181
10107	3.657138338670779E-6	12273
10108	3.657138338670779E-6	32795
10109	2.3551970901039814E-5	8784
1011	3.9850946902304985E-5	16771
10110	1.9768315344166374E-6	3585
10111	1.9768315344166374E-6	18989
10112	3.657138338670779E-6	35737
10113	1.9768315344166374E-6	19745
10114	1.9768315344166374E-6	31923
10115	1.9768315344166374E-6	2218
10116	1.9768315344166374E-6	12353
10117	3.657138338670779E-6	3398
10118	1.9768315344166374E-6	403
10119	1.9768315344166374E-6	403
1012	8.446012730795083E-6	965
10120	1.5587316648875186E-5	1596
10121	1.9768315344166374E-6	404
10122	1.9768315344166374E-6	404
10123	3.657138338670779E-6	7429
10124	1.9768315344166374E-6	404
10125	1.9768315344166374E-6	6987
10126	1.9768315344166374E-6	71388
10127	1.9768315344166374E-6	1129
10128	1.9768315344166374E-6	404
10129	1.9768315344166374E-6	6947
1013	4.336426889356739E-5	896
10130	3.657138338670779E-6	0
10131	1.9768315344166374E-6	404
10132	3.657138338670779E-6	1816
10133	2.5898729391531252E-5	39180
10134	3.657138338670779E-6	47744
10135	1.9768315344166374E-6	404
